,Aruba,Afghanistan,Angola,Albania,Andorra,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bermuda,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cameroon,Colombia,Comoros,Cabo Verde,Costa Rica,Cuba,Cayman Islands,Cyprus,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Faroe Islands,Gabon,Georgia,Ghana,Gibraltar,Guinea,Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,Honduras,Croatia,Haiti,Hungary,Indonesia,Isle of Man,India,Ireland,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Cambodia,Kiribati,Kuwait,Lebanon,Liberia,Libya,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Monaco,Madagascar,Maldives,Mexico,Marshall Islands,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Puerto Rico,Portugal,Paraguay,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,South Sudan,Sao Tome and Principe,Suriname,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Tuvalu,Uganda,Ukraine,Uruguay,Uzbekistan,Virgin Islands (U.S.),Vanuatu,Samoa,South Africa,Zambia,Zimbabwe
1990-01-01,62152.0,12412311.0,11848385.0,3286542.0,54508.0,1828437.0,32618648.0,3538164.0,47351.0,62533.0,17065100.0,7677850.0,7175200.0,5438959.0,9967379.0,4978489.0,8811033.0,103171957.0,8718289.0,495927.0,4463422.0,10189348.0,187554.0,59326.0,149003225.0,260933.0,258714.0,530801.0,1286756.0,2806740.0,27691138.0,6715519.0,13274617.0,1135185000.0,11780086.0,33102569.0,411598.0,337953.0,3119436.0,10596986.0,25307.0,766616.0,79433029.0,590393.0,70422.0,5140939.0,7133491.0,25758872.0,10230931.0,2258649.0,38867322.0,1569174.0,47887864.0,4986431.0,728575.0,58235716.0,47276.0,949493.0,4802000.0,14773274.0,29149.0,6352282.0,975265.0,419188.0,10196792.0,96328.0,55600.0,9050115.0,130480.0,743306.0,4955302.0,4777368.0,7037915.0,10373988.0,181413398.0,70292.0,873277799.0,3513974.0,17419113.0,254826.0,4660000.0,56719240.0,2419901.0,3565888.0,123478000.0,16348000.0,23724574.0,8975597.0,72394.0,2095350.0,2803032.0,2075917.0,4436663.0,28790.0,17325769.0,1703757.0,3697838.0,381850.0,2663151.0,24807461.0,29433.0,11598647.0,223159.0,83943135.0,47265.0,1996218.0,8449915.0,354170.0,41335188.0,606372.0,2184139.0,45752.0,12987292.0,2034347.0,1058775.0,9404499.0,18029824.0,1432899.0,170899.0,8026592.0,95212454.0,4173435.0,14951510.0,4241473.0,18905480.0,9506.0,3329800.0,1812158.0,107647918.0,2470946.0,22071433.0,61895169.0,15063.0,4615843.0,38110782.0,3537000.0,9983218.0,4223413.0,199906.0,476275.0,23201835.0,147969407.0,7288883.0,16233786.0,20147592.0,7526306.0,3047132.0,311869.0,4319763.0,5270074.0,24124.0,7225089.0,7586000.0,5492620.0,119211.0,405169.0,1998161.0,8558835.0,822423.0,28814.0,69507.0,12446168.0,12115.0,5963250.0,3774310.0,56558196.0,5283811.0,3683978.0,737814.0,95069.0,1221121.0,8242509.0,8910.0,17354395.0,51891400.0,3109598.0,20510000.0,103963.0,146575.0,162797.0,36800507.0,8036849.0,10432409.0
1991-01-01,64623.0,13299016.0,12248901.0,3266790.0,56666.0,1937159.0,33079002.0,3505249.0,48682.0,63363.0,17284000.0,7754891.0,7271300.0,5564923.0,10004486.0,5149496.0,9050086.0,105599125.0,8632367.0,509762.0,4369320.0,10194050.0,191136.0,59021.0,151648007.0,261912.0,266208.0,534637.0,1326321.0,2878507.0,28037420.0,6799978.0,13495255.0,1150780000.0,12137912.0,33758328.0,423873.0,346229.0,3202083.0,10673534.0,26540.0,783121.0,80013896.0,606843.0,70377.0,5154298.0,7270413.0,26400468.0,10472476.0,2266356.0,38966376.0,1561314.0,49609976.0,5013740.0,735398.0,58559309.0,47123.0,975785.0,4835900.0,15207360.0,29021.0,6534936.0,997522.0,432844.0,10319927.0,96462.0,55500.0,9296814.0,133553.0,744477.0,5098594.0,4689022.0,7178611.0,10373400.0,184591897.0,70928.0,891273202.0,3534235.0,17889457.0,257797.0,4949000.0,56758521.0,2439329.0,3760493.0,123964000.0,16451711.0,24521714.0,9289298.0,73692.0,2031297.0,2921700.0,2040141.0,4544245.0,29166.0,17535732.0,1742534.0,3704134.0,387000.0,2650581.0,25260407.0,29629.0,11942809.0,229743.0,85512621.0,48403.0,1993304.0,8635528.0,363845.0,41890192.0,607105.0,2217918.0,46662.0,13328029.0,2087914.0,1070266.0,9600361.0,18519941.0,1476399.0,175362.0,8288739.0,97667632.0,4267570.0,15069798.0,4261732.0,19405506.0,9766.0,3495100.0,1893761.0,110778655.0,2523115.0,22522383.0,63454785.0,15442.0,4725543.0,38246193.0,3562110.0,9960235.0,4334348.0,203716.0,487354.0,23001155.0,148394216.0,7083928.0,16772695.0,20891442.0,7755503.0,3135083.0,320781.0,4348663.0,5342190.0,24454.0,7274026.0,7595636.0,5420179.0,121949.0,413009.0,1999429.0,8617375.0,845267.0,29852.0,70439.0,12815400.0,12815.0,6157085.0,3862998.0,57232471.0,5400636.0,3789188.0,759526.0,95243.0,1229108.0,8427851.0,9014.0,17953534.0,52000500.0,3131657.0,20952000.0,104807.0,150718.0,164000.0,37718952.0,8246662.0,10681008.0
1992-01-01,68240.0,14485543.0,12657361.0,3247039.0,58882.0,2052892.0,33529320.0,3442820.0,49900.0,64459.0,17495000.0,7840709.0,7382050.0,5685569.0,10045158.0,5331805.0,9297110.0,107983708.0,8540164.0,523082.0,4233673.0,10216470.0,194324.0,58595.0,154259382.0,262890.0,273888.0,534525.0,1363541.0,2959236.0,28371264.0,6875364.0,13719818.0,1164970000.0,12499499.0,34422568.0,436454.0,355763.0,3286525.0,10736386.0,27784.0,800610.0,80624598.0,615050.0,70546.0,5171370.0,7408339.0,27028330.0,10716131.0,2257593.0,39157685.0,1533091.0,51423591.0,5041992.0,744470.0,58851216.0,46746.0,1002573.0,4873500.0,15653345.0,28844.0,6716032.0,1020353.0,447269.0,10399061.0,97161.0,55300.0,9544055.0,136693.0,748596.0,5244677.0,4575818.0,7319491.0,10369341.0,187739786.0,71262.0,909307018.0,3558430.0,18402740.0,261057.0,5123000.0,56797087.0,2461047.0,3977667.0,124425000.0,16439095.0,25326080.0,9623899.0,74767.0,,3076133.0,2001612.0,4650896.0,29552.0,17736827.0,1782284.0,3700114.0,392175.0,2614338.0,25711410.0,29859.0,12301338.0,236271.0,87075136.0,49242.0,1988659.0,8850334.0,367618.0,42401686.0,608516.0,2243495.0,46473.0,13805999.0,2142645.0,1084441.0,9685974.0,19002660.0,1516951.0,179799.0,8566773.0,100161708.0,4364514.0,15184166.0,4286401.0,19938322.0,10030.0,3531700.0,1983272.0,113911126.0,2575949.0,22966822.0,65020124.0,15859.0,4836216.0,38363667.0,3585176.0,9952494.0,4445019.0,207238.0,495403.0,22794284.0,148538197.0,6702239.0,17282686.0,21696240.0,7990090.0,3230698.0,330004.0,4347727.0,5416327.0,24830.0,7295380.0,7646424.0,5305449.0,124574.0,420658.0,1996498.0,8668067.0,866995.0,30458.0,70763.0,13187669.0,13639.0,6356741.0,3945902.0,57811025.0,5502490.0,3899843.0,783204.0,95398.0,1236685.0,8613855.0,9110.0,18561668.0,52150400.0,3154459.0,21449000.0,105712.0,155176.0,165490.0,38672611.0,8451346.0,10900511.0
1993-01-01,72495.0,15816601.0,13075044.0,3227287.0,60974.0,2173135.0,33970103.0,3363111.0,51025.0,65777.0,17667000.0,7905633.0,7494800.0,5798054.0,10084475.0,5521761.0,9552473.0,110350641.0,8472313.0,536212.0,4078940.0,10239050.0,197625.0,58910.0,156849086.0,263869.0,281684.0,532590.0,1399110.0,3046148.0,28684764.0,6938265.0,13944934.0,1178440000.0,12864091.0,35091272.0,449270.0,366057.0,3372298.0,10789312.0,29068.0,818750.0,81156363.0,618504.0,70818.0,5188628.0,7546467.0,27635517.0,10961460.0,2238631.0,39361262.0,1494128.0,53295556.0,5066447.0,754962.0,59106758.0,46277.0,1029769.0,4911100.0,16106756.0,28680.0,6897171.0,1043421.0,462637.0,10460415.0,98234.0,55200.0,9790619.0,139813.0,754141.0,5394416.0,4600463.0,7460684.0,10357523.0,190851184.0,71431.0,927403866.0,3576261.0,18955087.0,263725.0,5261000.0,56831821.0,2484583.0,4201559.0,124829000.0,16380672.0,26136217.0,9970727.0,75711.0,,3246129.0,1976701.0,4755134.0,29987.0,17924827.0,1822237.0,3682613.0,397475.0,2563290.0,26155204.0,30145.0,12675469.0,242596.0,88625440.0,49828.0,1984024.0,9087173.0,371308.0,42889992.0,610170.0,2263196.0,45763.0,14370950.0,2198538.0,1097374.0,9710335.0,19484901.0,1555098.0,184496.0,8860297.0,102700751.0,4462496.0,15290368.0,4311991.0,20489973.0,10287.0,3572200.0,2072106.0,117086680.0,2629584.0,23408135.0,66593904.0,16285.0,4949053.0,38461408.0,3615497.0,9964675.0,4555518.0,210644.0,501479.0,22763280.0,148458777.0,6263758.0,17763297.0,22527837.0,8226749.0,3313471.0,339501.0,4328965.0,5490478.0,25208.0,7315864.0,7699307.0,5185712.0,127066.0,428028.0,1991746.0,8718561.0,887706.0,30765.0,72253.0,13565074.0,14526.0,6563925.0,4029044.0,58337773.0,5593317.0,4010789.0,806867.0,95556.0,1243605.0,8795934.0,9194.0,19175986.0,52179200.0,3177734.0,21942000.0,106578.0,159743.0,167117.0,39633754.0,8656484.0,11092775.0
1994-01-01,76705.0,17075728.0,13503753.0,3207536.0,62676.0,2294377.0,34402669.0,3283664.0,52099.0,67201.0,17855000.0,7936118.0,7596550.0,5898964.0,10115603.0,5714215.0,9816584.0,112737684.0,8443591.0,549590.0,3936527.0,10226955.0,201679.0,59320.0,159432717.0,264893.0,289452.0,531905.0,1434061.0,3135017.0,29000663.0,6993795.0,14166346.0,1191835000.0,13230978.0,35758978.0,462280.0,376409.0,3458829.0,10838461.0,30521.0,837104.0,81438348.0,622364.0,71044.0,5206180.0,7683707.0,28213777.0,11207999.0,2218436.0,39549108.0,1462514.0,55180993.0,5088333.0,765607.0,59327200.0,45848.0,1057252.0,4836076.0,16561677.0,28605.0,7081119.0,1066345.0,479099.0,10512922.0,99345.0,55500.0,10037522.0,142806.0,758896.0,5548969.0,4652024.0,7602318.0,10343355.0,193917458.0,71662.0,945601828.0,3590386.0,19539348.0,266021.0,5399000.0,56843400.0,2509042.0,4410357.0,125178000.0,16145766.0,26950508.0,10317901.0,76668.0,,3403359.0,1986491.0,4854871.0,30415.0,18094474.0,1861323.0,3657144.0,402925.0,2520742.0,26584473.0,30436.0,13066544.0,248582.0,90156396.0,50214.0,1981713.0,9334893.0,374797.0,43383421.0,611389.0,2280475.0,45361.0,14948050.0,2255520.0,1112846.0,9745695.0,19977508.0,1591826.0,189482.0,9168316.0,105293701.0,4559010.0,15382838.0,4336613.0,21040899.0,10496.0,3620000.0,2148416.0,120362764.0,2684117.0,23851405.0,68180846.0,16735.0,5065664.0,38542652.0,3649237.0,9991525.0,4666096.0,214196.0,507044.0,22730211.0,148407912.0,5936253.0,18214475.0,23338465.0,8461066.0,3419048.0,349273.0,4309780.0,5561916.0,25588.0,7372592.0,7734639.0,5111371.0,129426.0,435099.0,1989443.0,8780745.0,907622.0,30950.0,74205.0,13950486.0,15399.0,6781057.0,4120615.0,58875275.0,5679169.0,4115105.0,827828.0,95739.0,1249527.0,8967916.0,9259.0,19793541.0,51921400.0,3201149.0,22377000.0,107318.0,164128.0,168689.0,40564061.0,8869745.0,11261752.0
1995-01-01,80324.0,18110662.0,13945205.0,3187784.0,63860.0,2415099.0,34828168.0,3217349.0,53158.0,68672.0,18072000.0,7948278.0,7684850.0,5987044.0,10136811.0,5905552.0,10089880.0,115169933.0,8406067.0,563698.0,3829049.0,10193831.0,206962.0,59746.0,162019889.0,265955.0,297112.0,534629.0,1469173.0,3222662.0,29302311.0,7040687.0,14380864.0,1204855000.0,13599984.0,36421438.0,475394.0,386288.0,3545524.0,10888246.0,32161.0,855391.0,81678051.0,630385.0,71105.0,5233373.0,7819239.0,28757788.0,11455205.0,2204227.0,39724050.0,1436634.0,57047906.0,5107790.0,775428.0,59541904.0,45625.0,1084951.0,4657722.0,17014058.0,28688.0,7269631.0,1088850.0,496768.0,10562153.0,100286.0,55800.0,10286786.0,145559.0,761298.0,5709010.0,4620030.0,7744509.0,10328965.0,196934257.0,72133.0,963922586.0,3608841.0,20149342.0,267468.0,5545000.0,56844303.0,2533705.0,4588842.0,125472000.0,15816243.0,27768297.0,10656145.0,77716.0,1605907.0,3528379.0,2044657.0,4948796.0,30884.0,18242917.0,1898598.0,3629102.0,408625.0,2485056.0,26994255.0,30731.0,13475403.0,254144.0,91663290.0,50454.0,1983259.0,9585660.0,377419.0,43901598.0,611712.0,2298017.0,45872.0,15483277.0,2313630.0,1122457.0,9844418.0,20487604.0,1627866.0,193816.0,9490289.0,107948339.0,4652185.0,15459006.0,4359184.0,21576074.0,10626.0,3673400.0,2204267.0,123776835.0,2739667.0,24299168.0,69784087.0,17158.0,5187063.0,38594998.0,3683103.0,10026176.0,4776838.0,218064.0,513447.0,22684270.0,148375787.0,5836490.0,18638790.0,24094741.0,8690155.0,3524506.0,359276.0,4303953.0,5628602.0,25925.0,7491647.0,7625357.0,5118084.0,131679.0,441851.0,1989872.0,8826939.0,926836.0,31164.0,75304.0,14345491.0,16221.0,7010159.0,4226293.0,59467272.0,5764806.0,4207841.0,844333.0,95972.0,1254200.0,9125400.0,9298.0,20413157.0,51512800.0,3224275.0,22785000.0,107818.0,168161.0,170050.0,41435761.0,9096608.0,11410721.0
1996-01-01,83211.0,18853444.0,14400722.0,3168033.0,64363.0,2539121.0,35246376.0,3168213.0,54209.0,70176.0,18311000.0,7959017.0,7763000.0,6060110.0,10156637.0,6094272.0,10372734.0,117649927.0,8362826.0,578661.0,3764419.0,10159569.0,213660.0,60129.0,164614682.0,267047.0,304620.0,541471.0,1504724.0,3308235.0,29610218.0,7071850.0,14587367.0,1217550000.0,13970812.0,37076387.0,488625.0,395533.0,3632361.0,10939285.0,34065.0,873426.0,81914831.0,643649.0,70933.0,5263074.0,7952766.0,29266415.0,11703169.0,2196467.0,39889852.0,1415594.0,58883531.0,5124573.0,784389.0,59753095.0,45624.0,1112944.0,4491699.0,17462504.0,28970.0,7463782.0,1110835.0,515844.0,10608800.0,101003.0,55900.0,10536942.0,148061.0,760801.0,5874814.0,4557097.0,7887312.0,10311238.0,199901231.0,72884.0,982365248.0,3637510.0,20783073.0,268916.0,5692000.0,56860281.0,2558631.0,4732848.0,125757000.0,15578227.0,28589456.0,10982919.0,78904.0,1626858.0,3610663.0,2160480.0,5036173.0,31354.0,18367290.0,1934294.0,3601613.0,414225.0,2457222.0,27383472.0,31001.0,13902697.0,259178.0,93147045.0,50523.0,1989441.0,9837575.0,379905.0,44452203.0,611003.0,2316571.0,47518.0,15960445.0,2372900.0,1133996.0,10022783.0,21017619.0,1663378.0,197564.0,9826600.0,110668784.0,4741571.0,15530498.0,4381336.0,22090352.0,10677.0,3732000.0,2236652.0,127349293.0,2796291.0,24753825.0,71401743.0,17599.0,5314258.0,38624370.0,3724655.0,10063945.0,4887638.0,222323.0,522531.0,22619004.0,148160129.0,6013112.0,19033843.0,24782384.0,8912872.0,3670704.0,369517.0,4312660.0,5689943.0,26253.0,7682683.0,7617794.0,5221925.0,133799.0,448207.0,1988628.0,8840998.0,945506.0,31434.0,76417.0,14754148.0,16930.0,7250974.0,4348808.0,60130190.0,5851354.0,4287337.0,855358.0,96267.0,1257547.0,9267335.0,9317.0,21032817.0,51057800.0,3247383.0,23225000.0,108095.0,171721.0,171165.0,42241007.0,9339740.0,11541215.0
1997-01-01,85450.0,19357126.0,14871572.0,3148281.0,64318.0,2671361.0,35657438.0,3133081.0,55227.0,71707.0,18517000.0,7968041.0,7838250.0,6122130.0,10181245.0,6281644.0,10665552.0,120160571.0,8312068.0,594927.0,3736070.0,10117433.0,221575.0,60497.0,167209046.0,268183.0,311962.0,551713.0,1540424.0,3392432.0,29905948.0,7088906.0,14786227.0,1230075000.0,14344444.0,37723803.0,501955.0,404248.0,3718952.0,10989730.0,36155.0,891190.0,82034771.0,660858.0,70592.0,5284991.0,8084407.0,29742980.0,11951457.0,2195192.0,40057389.0,1399535.0,60697443.0,5139835.0,792736.0,59964841.0,45789.0,1141332.0,4349913.0,17908977.0,29404.0,7662071.0,1132505.0,536459.0,10661259.0,101567.0,56000.0,10788362.0,150303.0,757975.0,6045704.0,4534920.0,8030721.0,10290486.0,202826444.0,73851.0,1000900028.0,3674171.0,21439579.0,271128.0,5836000.0,56890372.0,2583914.0,4848536.0,126057000.0,15334405.0,29415660.0,11298594.0,80188.0,1710257.0,3658425.0,2326210.0,5118008.0,31830.0,18470897.0,1968054.0,3575137.0,419450.0,2432851.0,27754573.0,31268.0,14347860.0,263836.0,94611008.0,50453.0,1996869.0,10094363.0,382791.0,45027223.0,609520.0,2335744.0,50052.0,16397175.0,2433567.0,1148284.0,10264906.0,21562790.0,1698029.0,201418.0,10178196.0,113457661.0,4827658.0,15610650.0,4405157.0,22584772.0,10643.0,3781300.0,2249759.0,131057432.0,2853907.0,25210957.0,73030879.0,18016.0,5446633.0,38649660.0,3759430.0,10108977.0,4998096.0,226854.0,535320.0,22553978.0,147915361.0,6419898.0,19407138.0,25413912.0,9130876.0,3796038.0,379998.0,4335295.0,5746288.0,26563.0,7936122.0,7596501.0,5411653.0,135831.0,454165.0,1985956.0,8846062.0,963416.0,31731.0,77319.0,15175308.0,17566.0,7503494.0,4485945.0,60846588.0,5938404.0,4355125.0,861870.0,96621.0,1259838.0,9395119.0,9328.0,21655392.0,50594600.0,3270158.0,23667000.0,108357.0,174917.0,172065.0,42987456.0,9597610.0,11653254.0
1998-01-01,87280.0,19737770.0,15359600.0,3128530.0,64140.0,2813214.0,36063451.0,3108691.0,56180.0,73219.0,18711000.0,7976789.0,7913000.0,6185564.0,10203008.0,6470275.0,10968722.0,122682818.0,8256786.0,613697.0,3734338.0,10071963.0,230248.0,60943.0,169785253.0,269334.0,319135.0,564378.0,1575827.0,3475485.0,30155173.0,7110001.0,14977736.0,1241935000.0,14723772.0,38364307.0,515382.0,412513.0,3803893.0,11038706.0,38330.0,908710.0,82047195.0,680465.0,70183.0,5304219.0,8214427.0,30192750.0,12198449.0,2206439.0,40223509.0,1386156.0,62507724.0,5153498.0,800148.0,60186284.0,46094.0,1170061.0,4243607.0,18357159.0,29945.0,7860772.0,1154372.0,558496.0,10720509.0,102023.0,56100.0,11046215.0,152274.0,753778.0,6220405.0,4532135.0,8174680.0,10266570.0,205724597.0,74936.0,1019483586.0,3712696.0,22114330.0,274047.0,5971000.0,56906744.0,2608874.0,4943975.0,126400000.0,15071640.0,30250488.0,11600510.0,81558.0,1831121.0,3693514.0,2517472.0,5196774.0,32306.0,18564595.0,1997524.0,3549331.0,424700.0,2410019.0,28110447.0,31554.0,14808791.0,268445.0,96056313.0,50356.0,2007523.0,10360564.0,385287.0,45611220.0,607662.0,2355667.0,52999.0,16813946.0,2496217.0,1160421.0,10552345.0,22114647.0,1731635.0,205279.0,10545720.0,116319763.0,4910642.0,15707209.0,4431464.0,23057875.0,10567.0,3815000.0,2251859.0,134843233.0,2912318.0,25658070.0,74672009.0,18409.0,5581767.0,38663481.0,3781101.0,10160196.0,5107840.0,231562.0,551566.0,22507344.0,147670784.0,6962800.0,19783301.0,26015518.0,9347777.0,3927213.0,390702.0,4381484.0,5797764.0,26851.0,8235064.0,7567745.0,5661934.0,137855.0,459838.0,1981629.0,8850974.0,979922.0,31240.0,78846.0,15599588.0,18228.0,7770053.0,4632451.0,61585103.0,6027395.0,4413477.0,866523.0,97036.0,1261699.0,9509862.0,9332.0,22290787.0,50144500.0,3291053.0,24051000.0,108537.0,177987.0,172839.0,43682259.0,9866474.0,11747079.0
1999-01-01,89009.0,20170847.0,15866871.0,3108778.0,64368.0,2966029.0,36467218.0,3089020.0,57049.0,74674.0,18926000.0,7992324.0,7982750.0,6267132.0,10226419.0,6664102.0,11282696.0,125189655.0,8210624.0,636540.0,3743353.0,10026738.0,238979.0,61285.0,172318674.0,270455.0,326214.0,577886.0,1610260.0,3558019.0,30401286.0,7143991.0,15162801.0,1252735000.0,15112598.0,38999468.0,528853.0,420456.0,3885428.0,11084673.0,40423.0,926049.0,82100243.0,699973.0,69828.0,5321799.0,8343288.0,30623406.0,12442109.0,2237412.0,40386875.0,1390244.0,64343008.0,5165474.0,806302.0,60496708.0,46428.0,1199058.0,4157192.0,18812369.0,30526.0,8054745.0,1177133.0,581765.0,10761698.0,102429.0,56100.0,11311078.0,153955.0,749676.0,6397140.0,4512597.0,8319070.0,10237530.0,208615171.0,75996.0,1038058154.0,3754786.0,22802061.0,277381.0,6125000.0,56916317.0,2632677.0,5031754.0,126631000.0,14928374.0,31098763.0,11886464.0,82969.0,1951642.0,3747762.0,2699708.0,5275921.0,32765.0,18663293.0,2019732.0,3524238.0,430475.0,2390482.0,28455504.0,31836.0,15282524.0,273522.0,97484823.0,50418.0,2017142.0,10642937.0,387578.0,46181075.0,606001.0,2376228.0,55633.0,17244176.0,2561584.0,1175267.0,10854325.0,22661293.0,1763861.0,209214.0,10929922.0,119260055.0,4991041.0,15812088.0,4461913.0,23509971.0,10449.0,3835100.0,2254898.0,138624625.0,2971197.0,26078295.0,76325927.0,18773.0,5716166.0,38660271.0,3800081.0,10217828.0,5216346.0,236217.0,570486.0,22472040.0,147214776.0,7501238.0,20194531.0,26626512.0,9568717.0,3958723.0,401592.0,4462374.0,5844834.0,27141.0,8553595.0,7540401.0,5933884.0,139964.0,465380.0,1983045.0,8857874.0,994105.0,31084.0,80410.0,16013992.0,19069.0,8053532.0,4780455.0,62298569.0,6119664.0,4466133.0,873138.0,97475.0,1263927.0,9613587.0,9344.0,22952406.0,49674000.0,3308005.0,24311650.0,108599.0,181259.0,173606.0,44338551.0,10140564.0,11822722.0
